Property_ID,City,Area_Locality,Property_Type,BHK,Size_sqft,Bathroom_Count,Furnishing_Status,Floor_Number,Total_Floors,Parking_Available,Distance_to_Metro_km,Property_Age_Years,Monthly_Rent
P00703,Bangalore,Marathahalli,Villa,2,1409.0,2.0,Semi-Furnished,1,10,No,9.06,19,36801
P00704,Bangalore,Electronic City,Villa,4,904.0,3.0,Unfurnished,16,24,Yes,5.61,18,34907
P00705,Pune,Wakad,Apartment,5,975.0,6.0,Furnished,4,13,Yes,8.83,8,38741
P00706,Pune,Hinjewadi,Villa,5,2966.0,3.0,Unfurnished,17,25,Yes,9.39,20,75262
P00707,Pune,Hinjewadi,Independent House,4,2116.0,3.0,Furnished,16,24,No,3.74,1,66749
P00708,Chennai,Velachery,Independent House,4,2630.0,4.0,Semi-Furnished,0,13,Yes,3.48,18,69365
P00709,Pune,Wakad,Villa,4,754.0,2.0,Furnished,5,16,No,0.82,20,29247
P00710,Bangalore,Indiranagar,Independent House,1,2877.0,,Semi-Furnished,7,11,No,2.54,10,71888
P00711,Hyderabad,Gachibowli,Apartment,5,2987.0,4.0,Furnished,20,24,Yes,1.04,1,87231
P00712,Mumbai,Powai,Villa,1,972.0,1.0,Semi-Furnished,1,11,No,0.84,1,45939
P00713,Bangalore,Marathahalli,Independent House,4,842.0,5.0,Semi-Furnished,7,8,No,3.96,13,38390
P00714,Delhi,Dwarka,Independent House,1,2309.0,2.0,Unfurnished,6,10,Yes,0.32,2,64186
P00715,Chennai,T Nagar,Villa,5,1499.0,3.0,Semi-Furnished,15,25,No,2.02,4,47506
P00716,Bangalore,Electronic City,Independent House,5,2235.0,5.0,Unfurnished,11,16,Yes,1.64,9,71426
P00717,Hyderabad,Madhapur,Independent House,1,2570.0,1.0,Furnished,7,24,Yes,4.34,6,66480
P00718,Pune,Wakad,Apartment,3,1225.0,4.0,Unfurnished,14,24,No,8.55,18,30901
P00719,Delhi,Saket,Independent House,3,1114.0,1.0,Semi-Furnished,1,17,Yes,9.22,20,31542
P00720,Pune,Wakad,Independent House,5,1323.0,2.0,Semi-Furnished,10,23,No,2.21,5,41624
P00721,Hyderabad,Hitech City,Apartment,3,572.0,1.0,Furnished,9,24,Yes,6.39,11,22609
P00722,Bangalore,Electronic City,Apartment,3,1163.0,2.0,Semi-Furnished,5,16,Yes,1.95,0,42460
P00723,Hyderabad,Hitech City,Apartment,2,2002.0,3.0,Furnished,10,25,Yes,3.19,7,59538
P00724,Hyderabad,Gachibowli,Villa,5,2226.0,6.0,Furnished,3,8,Yes,7.99,6,70960
P00725,Mumbai,Powai,Independent House,5,2209.0,6.0,Furnished,1,21,Yes,8.57,9,79524
P00726,Hyderabad,Gachibowli,Apartment,3,967.0,4.0,Furnished,2,18,Yes,1.84,12,41702
P00727,Delhi,Saket,Independent House,5,2351.0,2.0,Semi-Furnished,11,20,No,7.21,15,66016
P00728,Hyderabad,Kukatpally,Villa,5,599.0,2.0,Furnished,6,21,Yes,4.08,9,32687
P00729,Mumbai,Bandra,Independent House,3,2705.0,1.0,Furnished,2,12,No,5.28,7,86901
P00730,Bangalore,Indiranagar,Villa,5,1827.0,4.0,Semi-Furnished,14,21,No,3.8,15,58221
P00731,Hyderabad,Kukatpally,Apartment,2,2259.0,1.0,Semi-Furnished,20,21,No,9.03,9,55818
P00732,Delhi,Dwarka,Independent House,2,853.0,1.0,Furnished,11,12,Yes,3.47,10,32758
P00733,Hyderabad,Madhapur,Apartment,5,1014.0,6.0,Unfurnished,17,22,Yes,7.75,9,36389
P00734,Mumbai,Borivali,Villa,1,2383.0,1.0,Semi-Furnished,7,15,Yes,4.85,16,73401
P00735,Delhi,Karol Bagh,Villa,4,1845.0,1.0,Semi-Furnished,6,20,No,2.25,14,56281
P00736,Bangalore,Marathahalli,Apartment,5,975.0,3.0,Unfurnished,0,16,No,3.53,13,37002
P00737,Pune,Kharadi,Villa,5,1677.0,3.0,Unfurnished,0,19,Yes,9.24,4,47073
P00738,Delhi,Karol Bagh,Independent House,2,2050.0,1.0,Unfurnished,12,16,No,1.26,18,53239
P00739,Pune,Baner,Apartment,2,877.0,3.0,Unfurnished,5,7,No,0.46,6,25784
P00740,Mumbai,Powai,Apartment,2,1642.0,3.0,Unfurnished,2,17,Yes,3.81,0,57854
P00741,Hyderabad,Kukatpally,Independent House,2,903.0,1.0,Unfurnished,13,21,Yes,4.01,6,25243
P00742,Chennai,OMR,Independent House,4,1100.0,5.0,Unfurnished,9,16,No,2.9,0,36683
P00743,Mumbai,Andheri,Independent House,5,1461.0,5.0,Semi-Furnished,18,22,No,4.73,1,61133
P00744,Hyderabad,Kukatpally,Independent House,3,2051.0,2.0,Semi-Furnished,7,13,No,4.69,5,59095
P00745,Delhi,Dwarka,Independent House,1,1431.0,1.0,Semi-Furnished,20,25,No,6.73,2,42165
P00746,Pune,Wakad,Independent House,4,2714.0,1.0,Semi-Furnished,2,6,No,4.22,5,70235
P00747,Chennai,Velachery,Independent House,1,749.0,2.0,Semi-Furnished,10,22,No,8.59,12,17143
P00748,Bangalore,Marathahalli,Apartment,2,1789.0,3.0,Unfurnished,14,22,No,0.87,17,52414
P00749,Chennai,Anna Nagar,Apartment,4,1593.0,2.0,Furnished,0,20,Yes,1.94,3,55624
P00750,Pune,Kharadi,Apartment,1,495.0,2.0,Furnished,14,20,Yes,2.32,1,26831
P00751,Delhi,Rohini,Independent House,1,2591.0,1.0,Semi-Furnished,9,24,Yes,6.06,1,67174
P00752,Chennai,T Nagar,Independent House,2,1269.0,1.0,Furnished,13,14,Yes,3.5,6,43633
P00753,Pune,Hinjewadi,Apartment,1,1137.0,1.0,Furnished,13,22,Yes,8.19,10,33694
P00754,Pune,Wakad,Villa,2,2668.0,2.0,Semi-Furnished,3,11,Yes,1.24,10,68412
P00755,Bangalore,Indiranagar,Villa,3,499.0,4.0,Furnished,14,18,Yes,6.65,8,32039
P00756,Delhi,Saket,Apartment,1,1345.0,2.0,Semi-Furnished,19,23,Yes,7.18,18,35187
P00757,Hyderabad,Hitech City,Villa,3,2041.0,2.0,Semi-Furnished,5,16,No,0.86,0,61528
P00758,Delhi,Karol Bagh,Independent House,5,1402.0,5.0,Unfurnished,0,8,Yes,6.24,3,47778
P00759,Chennai,Anna Nagar,Apartment,5,775.0,1.0,Furnished,11,19,No,2.18,12,32547
P00760,Pune,Hinjewadi,Apartment,5,2267.0,6.0,Semi-Furnished,4,13,No,6.51,1,68128
P00761,Mumbai,Powai,Apartment,2,1806.0,2.0,Furnished,6,24,Yes,9.08,7,66100
P00762,Pune,Wakad,Villa,4,2585.0,3.0,Furnished,14,25,Yes,0.83,15,72603
P00763,Chennai,Velachery,Villa,2,1286.0,1.0,Furnished,5,24,Yes,2.52,2,43285
P00764,Pune,Kharadi,Independent House,2,1259.0,1.0,Semi-Furnished,5,25,Yes,3.17,18,36069
P00765,Pune,Wakad,Independent House,4,777.0,3.0,Semi-Furnished,12,15,No,4.53,16,30161
P00766,Pune,Kharadi,Apartment,4,531.0,4.0,Semi-Furnished,2,12,Yes,5.62,5,25536
P00767,Mumbai,Borivali,Independent House,4,1610.0,4.0,,19,23,Yes,3.47,15,59367
P00768,Chennai,T Nagar,Apartment,1,2500.0,2.0,Semi-Furnished,12,19,No,9.71,11,57954
P00769,Mumbai,Powai,Villa,5,741.0,4.0,Furnished,3,16,Yes,2.1,13,49788
P00770,Pune,Baner,Villa,4,,1.0,Unfurnished,12,19,Yes,2.58,1,54779
P00771,Pune,Hinjewadi,Villa,2,1520.0,3.0,Semi-Furnished,4,13,Yes,6.1,5,40476
P00772,Bangalore,Whitefield,Villa,4,2078.0,5.0,Furnished,16,20,No,1.83,13,66957
P00773,Pune,Baner,Villa,5,2017.0,5.0,Semi-Furnished,13,25,Yes,1.27,18,62129
P00774,Chennai,OMR,Villa,2,2080.0,3.0,Semi-Furnished,0,6,No,0.22,2,61761
P00775,Mumbai,Borivali,Villa,3,2215.0,2.0,Furnished,11,14,Yes,2.14,5,80256
P00776,Bangalore,Indiranagar,Villa,2,,1.0,Furnished,5,12,No,9.83,13,37000
P00777,Pune,Hinjewadi,Villa,2,776.0,2.0,Furnished,12,14,No,0.83,0,33729
P00778,Chennai,Anna Nagar,Independent House,1,488.0,1.0,Semi-Furnished,0,22,Yes,1.15,16,15867
P00779,Mumbai,Powai,Independent House,4,1830.0,5.0,Semi-Furnished,10,16,No,9.99,7,65165
P00780,Pune,Kharadi,Independent House,5,684.0,3.0,Semi-Furnished,3,4,No,8.73,12,28854
P00781,Chennai,Velachery,Villa,1,2623.0,2.0,Unfurnished,7,19,No,6.26,15,60255
P00782,Mumbai,Bandra,Apartment,3,518.0,3.0,Furnished,10,21,No,2.49,15,39455
P00783,Pune,Hinjewadi,Independent House,4,2400.0,1.0,Unfurnished,12,17,Yes,7.18,16,60537
P00784,Pune,Hinjewadi,Apartment,4,806.0,3.0,Unfurnished,17,25,Yes,8.98,3,27704
P00785,Pune,Wakad,Apartment,2,1148.0,3.0,Unfurnished,2,6,No,9.93,0,27413
P00786,Hyderabad,Kukatpally,Independent House,2,1505.0,3.0,Semi-Furnished,3,25,Yes,9.24,20,42246
P00787,Mumbai,Andheri,Villa,3,1366.0,1.0,Unfurnished,10,17,No,6.61,17,47574
P00788,Chennai,T Nagar,Independent House,1,1641.0,1.0,Furnished,2,13,Yes,7.5,3,47079
P00789,Hyderabad,Gachibowli,Independent House,4,2813.0,1.0,Semi-Furnished,1,20,Yes,8.5,13,71239
P00790,Hyderabad,Gachibowli,Villa,5,2869.0,2.0,Furnished,12,13,No,3.3,9,79946
P00791,Mumbai,Borivali,Apartment,5,1610.0,2.0,Unfurnished,1,21,No,3.23,3,60820
P00792,Pune,Kharadi,Villa,2,2477.0,2.0,Unfurnished,12,13,No,1.7,6,60552
P00793,Pune,Hinjewadi,Apartment,4,2054.0,3.0,Unfurnished,5,6,No,3.51,15,53959
P00794,Mumbai,Borivali,Apartment,5,1609.0,3.0,Unfurnished,6,24,No,1.15,10,64304
P00795,Bangalore,Marathahalli,Independent House,2,2814.0,1.0,Semi-Furnished,15,20,Yes,2.26,6,78693
P00796,Bangalore,Marathahalli,Villa,5,867.0,6.0,Furnished,12,19,Yes,9.27,3,42320
P00797,Mumbai,Bandra,Apartment,1,2561.0,2.0,Unfurnished,13,16,No,2.6,3,74685
P00798,Mumbai,Borivali,Independent House,5,1156.0,6.0,Unfurnished,12,25,Yes,7.82,20,50779
P00799,Hyderabad,Kukatpally,Independent House,1,941.0,1.0,Furnished,3,19,Yes,0.43,18,34072
P00800,Mumbai,Powai,Villa,1,2878.0,1.0,Semi-Furnished,15,22,No,5.8,3,82370
P00801,Bangalore,Electronic City,Independent House,1,2062.0,2.0,Furnished,16,25,Yes,7.58,6,60852
P00802,Bangalore,Electronic City,Villa,2,471.0,3.0,Semi-Furnished,10,12,Yes,1.46,6,29479
P00803,Chennai,Velachery,Villa,3,593.0,1.0,Furnished,16,21,No,9.67,5,23125
P00804,Pune,Hinjewadi,Apartment,3,639.0,3.0,Unfurnished,17,25,Yes,5.86,10,23330
P00805,Hyderabad,Gachibowli,Villa,1,633.0,,Furnished,6,11,No,8.59,6,19061
P00806,Delhi,Rohini,Villa,3,1586.0,2.0,Unfurnished,19,23,Yes,5.59,8,45645
P00807,Pune,Wakad,Independent House,4,791.0,3.0,Unfurnished,13,25,Yes,5.45,2,31056
P00808,Pune,Baner,Villa,2,1974.0,3.0,Unfurnished,20,25,Yes,4.31,4,51297
P00809,Mumbai,Borivali,Apartment,5,1463.0,1.0,Semi-Furnished,3,21,Yes,6.9,13,55301
P00810,Hyderabad,Hitech City,Independent House,3,1569.0,2.0,Furnished,8,9,Yes,3.9,7,50524
P00811,Bangalore,Whitefield,Apartment,5,1705.0,5.0,Semi-Furnished,3,20,No,7.06,9,57319
P00812,Hyderabad,Hitech City,Apartment,2,1752.0,2.0,Furnished,11,24,No,4.87,4,50180
P00813,Bangalore,Electronic City,Villa,2,1034.0,2.0,Unfurnished,8,10,No,7.13,7,32808
P00814,Delhi,Karol Bagh,Villa,4,1199.0,4.0,Semi-Furnished,14,23,No,2.9,13,44217
P00815,Pune,Wakad,Independent House,1,1701.0,2.0,Semi-Furnished,2,23,Yes,0.95,7,45411
P00816,Chennai,Velachery,Apartment,3,2719.0,4.0,Furnished,13,24,Yes,4.9,16,77365
P00817,Pune,Hinjewadi,Independent House,1,2974.0,1.0,Unfurnished,0,23,No,7.09,11,64539
P00818,Pune,Hinjewadi,Villa,4,1140.0,5.0,Furnished,5,8,No,8.43,16,38314
P00819,Bangalore,Indiranagar,Independent House,4,1148.0,3.0,Furnished,10,25,Yes,8.35,3,44064
P00820,Hyderabad,Kukatpally,Independent House,3,1322.0,1.0,Unfurnished,20,25,No,2.33,9,39516
P00821,Delhi,Dwarka,Independent House,5,2449.0,1.0,Semi-Furnished,0,20,No,3.42,11,67452
P00822,Bangalore,Marathahalli,Villa,2,2096.0,2.0,Furnished,3,17,No,2.14,16,62454
P00823,Chennai,Anna Nagar,Apartment,4,478.0,2.0,Unfurnished,8,16,No,4.07,9,19735
P00824,Mumbai,Bandra,Villa,3,895.0,4.0,Unfurnished,14,17,Yes,3.67,13,40511
P00825,Hyderabad,Gachibowli,Apartment,2,1616.0,1.0,Furnished,12,19,No,9.03,5,46739
P00826,Chennai,Anna Nagar,Villa,3,936.0,4.0,Semi-Furnished,17,25,Yes,3.38,12,35346
P00827,Pune,Kharadi,Apartment,1,891.0,1.0,Furnished,4,16,Yes,7.72,7,24950
P00828,Pune,Baner,Independent House,5,482.0,4.0,Semi-Furnished,9,19,No,1.01,13,26236
P00829,Delhi,Rohini,Villa,5,1215.0,2.0,Semi-Furnished,3,12,Yes,6.73,13,40940
P00830,Mumbai,Andheri,Villa,5,2953.0,2.0,Furnished,18,24,Yes,2.45,4,99240
P00831,Bangalore,Marathahalli,Apartment,2,2196.0,1.0,Unfurnished,6,9,Yes,3.93,16,56387
P00832,Pune,Wakad,Apartment,3,2195.0,4.0,Furnished,16,23,Yes,3.18,8,65261
P00833,Hyderabad,Madhapur,Villa,4,1461.0,3.0,Furnished,5,7,Yes,0.71,10,51016
P00834,Hyderabad,Kukatpally,Independent House,5,862.0,4.0,Furnished,8,24,No,3.48,3,37555
P00835,Pune,Hinjewadi,Villa,5,983.0,3.0,Semi-Furnished,11,23,No,2.53,8,35961
P00836,Delhi,Karol Bagh,Apartment,1,984.0,1.0,Furnished,18,24,Yes,2.09,14,32777
P00837,Bangalore,Marathahalli,Independent House,4,1277.0,5.0,Unfurnished,4,6,Yes,2.08,17,47711
P00838,Hyderabad,Madhapur,Independent House,4,930.0,4.0,Furnished,15,22,Yes,1.84,8,43831
P00839,Chennai,OMR,Apartment,5,699.0,6.0,Furnished,12,20,Yes,1.82,16,37861
P00840,Delhi,Karol Bagh,Independent House,5,1562.0,2.0,Furnished,0,6,Yes,6.0,0,56964
P00841,Mumbai,Powai,Independent House,2,1663.0,3.0,Semi-Furnished,17,19,Yes,2.39,17,59723
P00842,Hyderabad,Hitech City,Villa,2,1587.0,1.0,Semi-Furnished,1,22,Yes,9.9,6,42778
P00843,Bangalore,Whitefield,Villa,3,2928.0,3.0,Semi-Furnished,2,25,No,7.28,13,78453
P00844,Hyderabad,Madhapur,Apartment,1,1906.0,1.0,Unfurnished,8,14,No,9.72,17,42638
P00845,Delhi,Dwarka,Villa,4,1504.0,5.0,Unfurnished,6,21,Yes,3.38,6,51775
P00846,Pune,Kharadi,Apartment,4,1399.0,4.0,Semi-Furnished,4,20,Yes,5.06,14,42784
P00847,Chennai,T Nagar,Villa,4,1188.0,3.0,Furnished,9,15,Yes,8.21,19,37817
P00848,Bangalore,Electronic City,Apartment,4,1454.0,4.0,Unfurnished,12,14,Yes,7.32,0,49472
P00849,Bangalore,Indiranagar,Independent House,1,900.0,1.0,Unfurnished,1,6,Yes,7.75,8,23690
P00850,Pune,Hinjewadi,Apartment,1,2671.0,2.0,Unfurnished,2,9,Yes,4.91,18,62069
P00851,Chennai,OMR,Independent House,4,1082.0,2.0,Furnished,17,22,Yes,0.41,1,42199
P00852,Delhi,Saket,Apartment,5,2151.0,2.0,Furnished,7,8,Yes,4.39,4,68942
P00853,Pune,Baner,Apartment,4,910.0,4.0,Furnished,3,11,Yes,9.57,9,34406
P00854,Bangalore,Marathahalli,Apartment,3,797.0,1.0,Unfurnished,4,10,No,5.4,19,23389
P00855,Pune,Kharadi,Apartment,3,1625.0,3.0,,8,24,No,9.34,2,44436
P00856,Chennai,T Nagar,Independent House,2,2049.0,2.0,Unfurnished,15,17,Yes,5.86,8,49414
P00857,Bangalore,Marathahalli,Apartment,2,2027.0,2.0,Semi-Furnished,15,22,No,7.0,13,56033
P00858,Pune,Baner,Apartment,2,2019.0,2.0,Unfurnished,15,24,No,5.42,7,49185
P00859,Bangalore,Indiranagar,Villa,5,1348.0,6.0,Furnished,7,19,Yes,2.19,0,58100
P00860,Delhi,Karol Bagh,Apartment,1,694.0,2.0,Semi-Furnished,4,14,No,1.61,17,25210
P00861,Chennai,T Nagar,Apartment,1,,1.0,Unfurnished,4,17,Yes,7.02,13,24149
P00862,Bangalore,Whitefield,Villa,5,752.0,4.0,Unfurnished,5,6,Yes,3.78,2,34834
P00863,Bangalore,Whitefield,Villa,4,1063.0,2.0,Semi-Furnished,4,21,No,4.81,10,39096
P00864,Pune,Hinjewadi,Independent House,1,1088.0,,Unfurnished,1,21,Yes,5.13,0,29048
P00865,Mumbai,Borivali,Villa,3,2793.0,3.0,Unfurnished,7,21,Yes,2.86,2,88099
P00866,Mumbai,Bandra,Villa,2,2090.0,3.0,Furnished,7,20,Yes,8.26,17,71307
P00867,Bangalore,Indiranagar,Independent House,3,2109.0,4.0,Furnished,1,13,No,2.11,3,65341
P00868,Bangalore,Marathahalli,Villa,3,564.0,2.0,Semi-Furnished,5,23,Yes,0.84,19,25231
P00869,Hyderabad,Gachibowli,Villa,2,582.0,1.0,Semi-Furnished,2,21,Yes,5.72,15,17760
P00870,Bangalore,Marathahalli,Apartment,3,484.0,3.0,Semi-Furnished,12,21,Yes,3.28,12,29900
P00871,Hyderabad,Gachibowli,Villa,1,1807.0,,Unfurnished,16,18,Yes,0.43,12,48321
P00872,Delhi,Dwarka,Independent House,2,1070.0,3.0,Semi-Furnished,2,23,Yes,9.54,7,32645
P00873,Pune,Wakad,Villa,2,2504.0,3.0,Unfurnished,19,25,No,4.59,4,61461
P00874,Hyderabad,Madhapur,Villa,4,613.0,4.0,Furnished,6,9,Yes,5.76,15,28139
P00875,Bangalore,Electronic City,Independent House,5,807.0,4.0,Furnished,14,20,Yes,9.35,5,36434
P00876,Hyderabad,Madhapur,Independent House,1,741.0,1.0,Unfurnished,14,19,No,9.79,14,17445
P00877,Chennai,Velachery,Villa,4,612.0,3.0,Semi-Furnished,12,19,Yes,4.52,16,28662
P00878,Hyderabad,Madhapur,Apartment,4,2522.0,4.0,Semi-Furnished,1,21,Yes,7.46,7,72407
P00879,Delhi,Dwarka,Apartment,1,,2.0,Furnished,18,22,Yes,2.39,14,52587
P00880,Bangalore,Marathahalli,Independent House,4,2641.0,4.0,Furnished,2,8,Yes,9.19,12,76816
P00881,Chennai,Anna Nagar,Independent House,1,1749.0,2.0,Unfurnished,15,19,No,1.32,14,40513
P00882,Delhi,Rohini,Independent House,2,1324.0,2.0,Unfurnished,1,21,No,0.81,11,39544
P00883,Mumbai,Bandra,Apartment,2,543.0,3.0,Semi-Furnished,8,17,Yes,1.02,2,38966
P00884,Mumbai,Andheri,Independent House,4,2169.0,5.0,Furnished,8,14,Yes,1.11,13,81657
P00885,Hyderabad,Gachibowli,Apartment,3,2166.0,4.0,Semi-Furnished,17,20,No,3.68,18,59207
P00886,Bangalore,Electronic City,Apartment,5,2975.0,2.0,Semi-Furnished,10,11,Yes,8.99,4,83277
P00887,Hyderabad,Hitech City,Villa,4,1526.0,5.0,Unfurnished,0,15,Yes,6.42,20,45737
P00888,Bangalore,Whitefield,Apartment,2,2171.0,3.0,Unfurnished,5,25,No,2.32,6,58039
P00889,Pune,Hinjewadi,Independent House,3,516.0,3.0,Semi-Furnished,16,18,No,6.56,14,20059
P00890,Mumbai,Powai,Independent House,5,2194.0,5.0,Semi-Furnished,3,9,No,4.4,5,80536
P00891,Delhi,Rohini,Villa,4,2012.0,3.0,Unfurnished,13,24,No,7.08,3,53739
P00892,Bangalore,Whitefield,Villa,1,2974.0,2.0,Furnished,15,25,Yes,6.41,16,79242
P00893,Bangalore,Marathahalli,Independent House,2,1362.0,2.0,Unfurnished,12,14,Yes,8.59,3,38612
P00894,Mumbai,Borivali,Villa,4,481.0,3.0,Furnished,16,21,No,8.82,8,36827
P00895,Mumbai,Bandra,Apartment,4,583.0,1.0,Furnished,4,16,No,3.48,18,39946
P00896,Chennai,Anna Nagar,Apartment,5,2061.0,1.0,Unfurnished,13,16,No,9.78,5,52787
P00897,Hyderabad,Gachibowli,Independent House,2,857.0,3.0,Furnished,16,18,No,8.46,20,26186
P00898,Delhi,Rohini,Independent House,2,831.0,1.0,Furnished,13,14,Yes,0.47,17,31561
P00899,Delhi,Karol Bagh,Apartment,2,2308.0,3.0,Unfurnished,11,14,Yes,6.59,7,59464
P00900,Chennai,T Nagar,Villa,4,1516.0,1.0,Semi-Furnished,2,7,Yes,6.46,18,40860
P00901,Bangalore,Indiranagar,Villa,1,888.0,1.0,Semi-Furnished,8,14,Yes,0.96,11,30835
P00902,Mumbai,Andheri,Independent House,1,2144.0,1.0,Semi-Furnished,20,21,Yes,6.94,12,65265
P00903,Pune,Kharadi,Apartment,2,1673.0,1.0,Furnished,18,24,Yes,1.35,10,49968
P00904,Mumbai,Andheri,Apartment,5,1492.0,1.0,Furnished,19,20,Yes,5.28,4,62843
P00905,Hyderabad,Hitech City,Apartment,1,1791.0,1.0,Furnished,2,25,Yes,2.82,15,48701
P00906,Bangalore,Marathahalli,Villa,5,1655.0,4.0,Unfurnished,15,22,No,9.24,8,47980
P00907,Chennai,OMR,Independent House,1,2840.0,2.0,Furnished,6,22,No,8.85,13,70372
P00908,Pune,Baner,Independent House,5,890.0,5.0,Semi-Furnished,13,17,No,3.86,20,31497
P00909,Mumbai,Bandra,Apartment,5,1486.0,5.0,Semi-Furnished,9,21,No,0.49,5,65616
P00910,Mumbai,Bandra,Independent House,2,747.0,1.0,Unfurnished,11,17,Yes,7.84,3,31876
P00911,Hyderabad,Hitech City,Villa,3,1325.0,4.0,Unfurnished,10,25,Yes,5.7,12,38108
P00912,Delhi,Rohini,Villa,2,871.0,3.0,Semi-Furnished,19,25,Yes,5.82,20,30033
P00913,Pune,Kharadi,Independent House,3,1261.0,2.0,Furnished,15,23,Yes,9.9,13,35643
P00914,Bangalore,Indiranagar,Apartment,5,1788.0,5.0,Semi-Furnished,7,8,No,0.37,18,57393
P00915,Mumbai,Powai,Apartment,4,601.0,5.0,Unfurnished,1,12,Yes,0.88,3,43710
P00916,Pune,Baner,Independent House,3,1866.0,4.0,Furnished,17,23,No,6.2,12,53306
P00917,Pune,Kharadi,Independent House,1,1981.0,1.0,Furnished,7,9,Yes,1.56,10,57600
P00918,Pune,Kharadi,Apartment,2,810.0,1.0,Unfurnished,11,25,Yes,9.35,1,20689
P00919,Bangalore,Whitefield,Apartment,3,757.0,3.0,Semi-Furnished,19,23,No,7.05,4,32230
P00920,Mumbai,Andheri,Apartment,3,1056.0,4.0,Unfurnished,14,25,Yes,5.31,7,48754
P00921,Mumbai,Borivali,Independent House,3,2427.0,2.0,Furnished,8,18,Yes,3.66,7,84857
P00922,Pune,Wakad,Villa,1,757.0,2.0,Furnished,6,7,Yes,4.79,12,25019
P00923,Mumbai,Andheri,Independent House,2,2868.0,3.0,Unfurnished,10,23,No,7.14,20,77416
P00924,Delhi,Dwarka,Apartment,2,1939.0,2.0,Semi-Furnished,19,24,Yes,7.84,6,50944
P00925,Hyderabad,Kukatpally,Apartment,3,2814.0,1.0,Furnished,14,16,Yes,2.56,14,75056
P00926,Hyderabad,Hitech City,Independent House,5,2304.0,3.0,Semi-Furnished,3,21,Yes,3.67,6,66655
P00927,Mumbai,Borivali,Villa,3,667.0,4.0,Semi-Furnished,11,13,Yes,6.56,13,38158
P00928,Hyderabad,Gachibowli,Independent House,2,2883.0,2.0,Unfurnished,19,23,No,1.27,1,75114
P00929,Chennai,Velachery,Apartment,1,667.0,1.0,Unfurnished,8,16,Yes,5.41,8,17272
P00930,Delhi,Karol Bagh,Independent House,4,864.0,2.0,Unfurnished,8,24,Yes,1.88,6,34053
P00931,Pune,Baner,Villa,5,1629.0,6.0,Furnished,3,9,No,7.44,7,52536
P00932,Hyderabad,Hitech City,Apartment,2,1810.0,2.0,Furnished,0,22,No,4.39,0,51820
P00933,Hyderabad,Hitech City,Apartment,1,2883.0,2.0,Semi-Furnished,18,19,No,8.76,15,64528
P00934,Bangalore,Whitefield,Villa,3,1385.0,2.0,Furnished,3,7,No,8.08,10,45325
P00935,Mumbai,Powai,Villa,3,2442.0,3.0,Semi-Furnished,14,15,No,3.15,10,80218
P00936,Pune,Kharadi,Apartment,3,2577.0,1.0,Furnished,13,17,Yes,3.7,0,71090
P00937,Delhi,Karol Bagh,Independent House,2,815.0,1.0,Semi-Furnished,20,21,No,8.8,17,24330
P00938,Delhi,Rohini,Independent House,3,1806.0,4.0,Unfurnished,13,18,No,2.07,18,52406
P00939,Pune,Baner,Villa,1,2225.0,2.0,Unfurnished,11,16,Yes,9.7,15,51660
P00940,Chennai,Anna Nagar,Villa,2,2592.0,2.0,Unfurnished,17,20,No,4.97,2,62747
P00941,Bangalore,Indiranagar,Apartment,2,1609.0,3.0,Furnished,1,17,No,0.25,11,55963
P00942,Bangalore,Whitefield,Independent House,2,1884.0,2.0,Unfurnished,17,20,Yes,7.19,4,49565
P00943,Mumbai,Andheri,Independent House,2,581.0,2.0,Semi-Furnished,7,20,No,4.11,3,35110
P00944,Hyderabad,Madhapur,Apartment,5,2235.0,6.0,Semi-Furnished,18,20,Yes,2.65,13,70547
P00945,Chennai,OMR,Independent House,1,1667.0,2.0,Unfurnished,5,18,No,1.14,16,41773
P00946,Pune,Baner,Villa,3,2368.0,3.0,Semi-Furnished,14,21,No,4.72,17,58284
P00947,Mumbai,Andheri,Apartment,5,1688.0,2.0,Unfurnished,16,22,Yes,6.28,18,59517
P00948,Bangalore,Indiranagar,Apartment,4,474.0,4.0,Unfurnished,14,15,Yes,0.74,20,24523
P00949,Hyderabad,Hitech City,Independent House,5,2422.0,6.0,Semi-Furnished,1,5,Yes,7.08,16,67882
P00950,Delhi,Karol Bagh,Apartment,2,1083.0,2.0,Unfurnished,9,10,No,6.31,6,28983
P00951,Bangalore,Whitefield,Apartment,5,945.0,5.0,Furnished,7,14,Yes,4.84,16,44399
P00952,Mumbai,Andheri,Apartment,3,2107.0,4.0,Furnished,7,25,No,8.25,14,73862
P00953,Delhi,Dwarka,Independent House,2,538.0,1.0,Furnished,7,13,Yes,4.87,9,25421
P00954,Pune,Hinjewadi,Villa,4,1954.0,3.0,Semi-Furnished,12,24,Yes,4.75,13,54173
P00955,Bangalore,Marathahalli,Independent House,1,2761.0,2.0,Furnished,18,21,Yes,6.52,19,72825
P00956,Bangalore,Marathahalli,Apartment,4,2327.0,3.0,Furnished,5,17,Yes,3.62,16,71560
P00957,Delhi,Dwarka,Apartment,2,1891.0,3.0,Unfurnished,18,21,No,7.21,4,48775
P00958,Pune,Baner,Independent House,1,2431.0,2.0,Semi-Furnished,19,25,Yes,5.85,16,61296
P00959,Delhi,Saket,Apartment,3,2861.0,3.0,Unfurnished,19,23,Yes,0.64,5,77124
P00960,Bangalore,Whitefield,Independent House,4,1775.0,2.0,Unfurnished,7,11,Yes,7.34,12,51060
